displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
2.0,110,1234,69990,2023,2,3
4.0,420,1234,289990,2023,2,3
4.0,420,1234,279990,2023,2,3
4.0,420,1234,279990,2023,2,3
2.0,110,1425,47500,2017,2,3
2.0,150,1606,121000,2022,2,6
2.0,147,1700,117000,2023,2,6
2.0,120,1834,48000,2017,2,6
2.0,85,1954,55900,2023,2,2
2.0,130,2007,38200,2013,2,6
1.8,125,2011,27900,2012,0,5
2.0,150,2200,124500,2023,2,3
3.0,210,3424,134000,2023,2,3
2.0,221,3466,94500,2023,2,6
2.0,150,3500,112000,2022,2,4
2.0,85,4844,55900,2022,2,6
2.0,110,4900,76900,2023,2,3
1.5,110,5000,61900,2022,2,6
2.0,110,5371,69900,2022,2,3
1.6,89,5765,49990,2018,2,6
3.0,210,6000,173000,2023,2,6
3.0,286,6000,164000,2023,2,6
2.0,110,6500,69900,2022,2,2
2.0,228,6500,99900,2022,2,5
2.0,228,8000,99950,2023,2,5
3.0,210,8000,240900,2023,2,3
2.0,150,8000,99000,2023,2,3
1.6,85,8100,46000,2020,0,2
0.6,440,8500,244000,2022,2,6
2.9,338,9000,203000,2022,2,5
2.0,110,9000,63000,2023,2,3
3.0,200,9332,57000,2017,2,3
3.0,251,10000,159900,2022,2,6
3.0,251,10000,159900,2022,2,6
3.0,251,10000,161999,2023,2,6
3.0,210,10000,141000,2023,2,3
4.0,373,10000,269000,2024,2,6
2.0,110,10500,65000,2022,2,3
2.0,147,10613,114900,2022,2,6
4.0,375,11000,239900,2022,2,6
3.0,251,11000,159900,2022,2,6
2.0,96,200000,4900,2002,0,3
2.0,150,11800,132000,2022,2,6
2.0,195,12000,119000,2022,2,3
3.0,210,12000,219999,2022,2,3
2.0,85,12000,55000,2023,2,2
3.0,210,12000,169900,2023,2,6
3.0,210,13000,159900,2023,2,3
4.0,372,13500,245000,2022,2,6
3.0,210,13645,173900,2023,2,6
4.2,190,14497,75000,2015,2,3
4.0,320,15000,190000,2020,2,6
3.0,210,15000,165000,2022,2,6
2.0,85,15150,55000,2023,2,2
3.0,210,15200,185000,2022,2,6
2.0,147,15500,105000,2021,2,6
2.0,147,15500,105000,2021,2,6
4.0,441,15500,295000,2023,2,6
2.0,110,15900,32900,2016,0,2
1.9,180,200000,5000,1997,0,3
2.0,150,17000,126000,2022,2,6
3.0,250,17581,165000,2022,2,6
1.8,66,17850,1800,1987,0,0
2.0,150,17850,69000,2022,2,3
2.5,294,18800,110000,2021,2,6
2.0,140,19000,95000,2020,2,6
4.0,373,19000,233000,2022,2,6
2.0,110,19000,69000,2022,2,3
1.8,65,19137,1300,1989,0,0
2.0,150,19500,73000,2022,2,3
2.0,110,19500,54900,2022,2,3
3.0,210,19500,175000,2023,2,6
3.0,210,20000,164700,2021,2,6
2.0,147,20000,99900,2021,2,6
2.5,294,20000,146000,2023,2,6
2.0,85,20562,52500,2023,2,2
2.0,221,21000,69900,2019,2,6
3.0,210,21000,169999,2021,2,6
2.0,150,21000,123000,2021,2,6
3.0,210,21000,186000,2022,2,3
1.6,59,21211,900,1989,0,0
4.0,441,21323,290000,2023,2,6
2.0,150,21700,135400,2022,2,6
2.0,100,21990,22990,2014,0,3
3.0,200,22000,66600,2015,2,6
2.0,85,22000,58000,2023,2,2
1.8,65,22133,750,1987,0,0
2.0,150,22389,134900,2022,2,6
3.0,170,22539,149990,2023,2,6
2.0,110,22634,63900,2022,2,3
1.6,105,23000,17200,2013,0,2
3.0,210,24000,159999,2021,2,6
2.5,294,24000,144000,2023,2,6
2.0,150,24184,129500,2022,2,6
3.0,250,24500,177000,2022,2,6
1.6,59,25000,1550,1989,0,0
1.9,83,25000,1500,1996,0,0
1.9,81,25000,3600,1996,0,3
1.6,110,25000,2200,1996,0,3
2.0,180,25000,2600,1996,0,3
1.6,74,25000,5500,1996,0,3
2.5,103,25000,5999,1996,0,3
1.9,81,25000,2000,1997,0,3
1.9,81,25000,3600,1997,0,3
2.4,125,25000,1950,1997,0,3
1.9,81,25000,3300,1997,0,3
1.9,66,25000,3300,1998,0,2
1.9,66,25000,3300,1998,0,2
2.5,110,25000,3500,1998,2,3
1.9,81,25000,3300,1998,0,3
2.5,110,25000,7000,1998,2,3
2.5,110,25000,3350,1998,0,3
2.5,110,25000,3200,1998,0,3
2.8,257,25000,2300,1998,0,3
1.6,74,25000,2700,1999,0,3
1.8,110,25000,5100,1999,0,3
2.5,110,25000,3500,1999,2,3
1.9,81,25000,2700,1999,0,3
2.5,110,25000,3300,2000,2,3
1.9,85,25000,3100,2000,0,3
2.5,180,25000,3600,2000,0,3
1.9,85,25000,5000,2000,0,3
1.9,85,25000,5000,2000,0,3
2.8,132,25000,2500,2000,2,3
1.9,85,25000,3000,2000,0,3
1.9,85,25000,5200,2000,2,3
1.9,85,25000,5500,2000,0,3
1.8,125,25000,6000,2000,0,3
1.9,85,25000,5500,2000,0,3
2.0,96,25000,4950,2000,0,3
2.5,110,25000,2799,2000,0,3
1.9,85,25000,4600,2000,0,3
1.9,105,25000,4700,2000,0,3
1.9,105,25000,4500,2000,0,3
1.9,105,25000,4500,2000,0,3
1.9,105,25000,1199,2000,0,3
1.9,105,25000,4700,2000,0,3
1.9,66,25000,5200,2001,0,2
1.9,66,25000,5100,2001,0,2
1.9,96,25000,4500,2001,0,2
1.9,96,25000,2800,2001,0,2
1.9,81,25000,4300,2001,0,2
1.9,96,25000,5800,2001,2,2
1.9,96,25000,4850,2001,2,2
1.9,66,25000,5700,2001,0,2
1.9,96,25000,3800,2001,0,2
1.9,96,25000,6700,2001,0,3
1.9,96,25000,8350,2001,0,3
1.9,96,25000,5300,2001,0,3
2.5,132,25000,5000,2001,0,3
2.5,130,25000,2000,2001,2,3
2.5,114,25000,2800,2001,0,3
2.0,96,25000,2750,2001,2,3
2.8,141,25000,4950,2001,2,3
1.9,180,25000,5000,2001,0,3
1.9,96,25000,8200,2001,0,3
2.0,96,25000,5900,2001,2,3
1.9,96,25000,6500,2001,0,3
1.9,96,25000,6500,2001,0,3
1.9,85,25000,3750,2001,0,3
1.9,96,25000,6500,2001,0,3
2.0,96,25000,5700,2001,2,3
1.9,105,25000,6500,2001,0,3
2.5,114,25000,5500,2001,0,3
1.9,96,25000,7500,2001,0,3
1.9,96,25000,5400,2001,0,3
1.8,110,25000,3700,2001,0,3
2.5,132,25000,2500,2001,0,3
1.9,96,25000,6200,2001,0,3
1.9,85,25000,4250,2001,0,3
1.9,85,25000,5000,2001,0,3
3.0,180,25000,35000,2012,2,5
2.0,150,25000,93000,2019,2,3
4.0,441,25000,269000,2021,2,3
2.0,150,25000,115000,2022,2,6
4.0,441,25000,280000,2023,2,4
1.6,110,26000,2400,1995,0,3
1.6,110,26000,2700,1996,0,3
1.8,66,26000,1300,2001,0,0
3.0,170,26000,160000,2022,2,6
1.8,110,28000,5000,1996,0,3
1.9,81,28000,6200,2001,0,2
1.9,81,28000,4800,2001,0,2
2.0,150,28130,92900,2021,2,6
2.0,150,28200,92900,2021,2,6
3.0,210,28200,189990,2022,2,3
1.6,85,28325,39500,2020,0,2
4.0,441,28600,262000,2021,2,4
2.0,110,28689,57990,2019,2,3
2.8,142,29000,4500,1999,0,3
3.0,180,29000,27500,2012,2,3
2.0,150,29000,88000,2019,2,3
3.0,253,29000,134900,2023,2,5
4.0,420,29000,234000,2023,2,3
3.0,210,29251,134990,2019,2,3
3.0,210,29900,137200,2021,2,6
1.8,82,30000,5500,1991,0,0
2.4,121,30000,2300,1997,0,3
2.0,105,30000,14700,2008,0,3
2.0,88,30000,13500,2010,0,3
3.0,174,30000,18500,2011,2,3
2.0,88,30000,16900,2011,0,3
2.0,130,30000,23000,2013,2,3
1.6,85,30000,45000,2020,0,2
