displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
1.2,63,239800,12800,2015,0,2
1.6,66,275345,11900,2012,0,1
1.6,77,150000,9300,2010,0,0
1.6,77,226000,13999,2010,2,2
1.6,77,283000,14600,2010,0,2
1.6,81,269000,18500,2016,0,2
1.6,77,333333,16200,2014,0,2
2.0,110,297975,18400,2015,0,2
2.0,103,241321,15500,2010,0,3
2.0,103,280000,16950,2011,0,2
1.6,81,270000,18900,2014,0,2
0.9,55,103000,14550,2018,0,0
2.0,110,263500,19350,2013,0,2
1.9,103,219000,18000,2011,0,2
1.6,81,300000,19500,2015,2,2
1.6,77,202030,18499,2013,0,2
2.0,125,265000,15900,2011,0,2
2.0,125,269540,19900,2011,2,2
2.0,110,260000,19250,2014,0,2
2.0,110,229000,17300,2013,0,2
1.6,77,220000,19800,2014,0,2
1.6,81,210852,17999,2014,0,2
3.6,191,301000,16500,2009,2,2
1.6,78,248000,16800,2014,0,2
1.6,77,184000,19900,2015,0,2
1.6,77,272205,16990,2013,0,2
1.0,70,110000,18500,2018,0,2
1.6,77,235000,17800,2013,0,2
1.6,77,250000,18500,2015,0,2
1.6,81,264000,19200,2014,0,2
2.0,110,266,18500,2016,0,2
1.6,85,248000,19900,2015,2,2
1.6,85,197000,27800,2019,0,2
1.6,85,205000,23700,2018,0,2
1.6,85,150689,24950,2018,0,2
1.6,81,209025,20800,2015,0,2
2.0,135,277767,24999,2013,0,2
1.6,81,231000,21400,2016,0,2
2.0,135,249000,21999,2014,2,3
1.6,85,189000,21300,2017,0,2
1.0,81,93663,22900,2019,0,0
1.6,66,271400,19500,2016,0,2
1.6,85,194000,23750,2018,2,2
1.6,85,299000,21000,2017,2,2
2.0,103,250000,25000,2014,2,5
1.6,77,223689,22500,2015,0,2
2.0,135,314000,19500,2015,2,2
1.2,63,150200,25999,2018,0,2
1.6,85,221000,24900,2018,2,2
1.6,81,154000,23700,2015,0,2
2.0,110,247512,24900,2015,2,2
2.0,110,275000,21800,2014,0,2
1.6,77,215000,23000,2016,0,2
2.0,110,270000,23900,2014,0,2
2.0,81,217050,19900,2016,0,5
2.0,110,255000,18900,2013,2,2
1.6,77,145200,22500,2014,0,2
2.0,135,303000,22000,2016,2,2
2.0,140,180000,26000,2013,2,4
2.0,110,241000,25900,2017,2,2
2.0,135,220000,25900,2014,2,2
2.0,110,180000,26999,2016,0,2
2.0,110,193000,25999,2016,0,2
2.0,135,193884,26800,2014,0,4
1.6,88,223000,28500,2015,0,2
1.6,77,247000,26000,2015,0,2
1.6,85,220154,28000,2019,0,2
2.0,81,190000,25500,2017,0,5
1.6,85,234000,26900,2018,2,2
2.0,110,198000,30000,2019,0,2
1.6,85,145000,26000,2017,0,2
2.0,125,263000,21000,2009,2,2
1.9,47,150000,4850,2004,0,0
2.0,135,205000,26999,2014,2,4
2.0,110,190681,26350,2018,2,2
2.0,135,190000,27450,2015,2,2
1.6,85,220000,25990,2018,2,2
1.6,85,180000,27200,2018,2,2
2.0,110,149344,25700,2017,0,2
2.0,81,160000,26800,2015,0,5
1.6,85,315000,27000,2017,0,2
2.0,135,224000,24000,2015,2,3
2.0,110,109205,26300,2017,0,2
