displacement,kilowatts,mileage,price,year,rimSize
4.0,441.0,42871.0,249990,2020.0,16.0
2.5,132.0,360000.0,3999,2000.0,16.0
1.6,75.0,311000.0,3800,2001.0,16.0
2.5,103.0,350000.0,2000,1995.0,15.0
2.5,110.0,285441.0,1999,1999.0,16.0
1.6,51.0,250000.0,1250,1990.0,16.0
1.9,180.0,270000.0,4300,2001.0,16.0
1.8,92.0,331000.0,3500,2000.0,16.0
1.9,180.0,400000.0,4800,2000.0,16.0
1.8,65.0,300000.0,1100,1987.0,16.0
2.4,125.0,267000.0,4500,2004.0,16.0
1.6,110.0,336000.0,4100,1995.0,16.0
1.9,83.0,265000.0,5000,1988.0,17.0
1.8,66.0,250000.0,900,1988.0,14.0
3.0,150.0,272600.0,8000,2006.0,16.0
1.8,132.0,226323.0,9500,2002.0,18.0
1.9,77.0,325.0,8199,2004.0,17.0
3.0,165.0,283700.0,10000,2005.0,17.0
2.0,103.0,357000.0,8000,2006.0,17.0
2.5,110.0,296000.0,6500,2001.0,16.0
2.4,125.0,255000.0,7900,2004.0,16.0
2.5,132.0,300000.0,5800,2001.0,15.0
1.9,96.0,312000.0,6300,2002.0,16.0
1.8,82.0,222222.0,3500,1986.0,16.0
1.9,77.0,260000.0,7700,2003.0,15.0
2.5,132.0,340604.0,8300,2002.0,17.0
1.9,98.0,350000.0,7300,2004.0,15.0
1.9,105.0,405000.0,7400,2001.0,16.0
1.9,96.0,407333.0,9000,2004.0,17.0
1.6,110.0,280500.0,8500,2005.0,16.0
1.9,96.0,300000.0,5550,2001.0,16.0
3.0,165.0,340000.0,9400,2004.0,17.0
2.0,103.0,266658.0,8500,2006.0,16.0
1.6,66.0,250000.0,13200,2010.0,16.0
2.0,105.0,375000.0,10900,2004.0,16.0
3.0,160.0,334000.0,12500,2005.0,18.0
3.0,194.0,309000.0,11500,2005.0,18.0
1.6,77.0,195000.0,14590,2009.0,17.0
2.0,103.0,295000.0,12800,2008.0,17.0
2.0,103.0,330000.0,12550,2008.0,17.0
1.6,77.0,231000.0,14500,2010.0,16.0
3.0,165.0,290000.0,11500,2005.0,16.0
1.6,77.0,191000.0,13700,2009.0,16.0
2.0,125.0,274000.0,14400,2009.0,16.0
3.0,171.0,371000.0,14500,2005.0,18.0
2.0,103.0,243216.0,13950,2009.0,16.0
2.0,103.0,230000.0,10500,2005.0,16.0
3.0,150.0,265000.0,12000,2006.0,18.0
2.0,103.0,248000.0,16500,2008.0,17.0
2.0,100.0,249215.0,19000,2009.0,16.0
2.0,103.0,269000.0,15500,2011.0,16.0
2.0,103.0,248323.0,16750,2009.0,18.0
3.0,171.0,318000.0,16000,2007.0,18.0
2.0,88.0,279000.0,15700,2009.0,16.0
2.0,104.0,240000.0,16900,2011.0,17.0
2.0,88.0,260000.0,16400,2010.0,16.0
2.0,100.0,263000.0,17800,2011.0,16.0
2.0,103.0,232500.0,15999,2010.0,17.0
2.0,103.0,266050.0,17500,2010.0,17.0
2.0,103.0,241000.0,17999,2009.0,16.0
2.0,88.0,228000.0,19000,2009.0,17.0
3.0,176.0,270000.0,18900,2010.0,17.0
2.0,105.0,245064.0,16800,2009.0,17.0
1.6,66.0,215000.0,15200,2011.0,16.0
2.0,105.0,319000.0,16800,2009.0,16.0
2.0,125.0,242750.0,16000,2011.0,17.0
1.6,66.0,256000.0,14990,2011.0,17.0
3.0,176.0,237000.0,19900,2009.0,16.0
2.0,125.0,214000.0,19500,2010.0,18.0
1.6,81.0,260800.0,24999,2016.0,16.0
2.7,140.0,280000.0,21000,2011.0,16.0
2.0,100.0,293500.0,23000,2010.0,20.0
2.0,110.0,291000.0,23900,2015.0,16.0
1.8,125.0,228000.0,21800,2013.0,16.0
1.6,81.0,270000.0,22700,2013.0,17.0
2.0,88.0,269000.0,21900,2012.0,16.0
3.0,176.0,297000.0,21900,2009.0,17.0
3.0,171.0,209238.0,19900,2008.0,18.0
2.0,105.0,210000.0,23500,2012.0,18.0
3.0,176.0,360000.0,21000,2010.0,17.0
1.6,81.0,207456.0,21999,2013.0,16.0
2.0,105.0,212000.0,20600,2012.0,16.0
2.0,130.0,280000.0,24750,2011.0,17.0
2.0,130.0,262000.0,22490,2012.0,17.0
3.0,150.0,275000.0,24300,2012.0,16.0
3.0,176.0,209125.0,21700,2011.0,17.0
2.0,125.0,198000.0,22900,2010.0,19.0
2.0,88.0,226633.0,22200,2014.0,16.0
