displacement,kilowatts,mileage,price,year,rimSize
3.2,165.0,311427.0,19900,2006.0,16.0
2.2,125.0,434000.0,19999,2011.0,18.0
2.2,125.0,339122.0,18400,2009.0,17.0
2.2,150.0,237576.0,20900,2009.0,17.0
2.2,125.0,300000.0,15700,2011.0,17.0
2.2,125.0,296000.0,17900,2009.0,17.0
3.2,164.0,440000.0,20000,2006.0,17.0
2.2,100.0,380000.0,21000,2010.0,16.0
1.5,74.0,530.0,19999,2017.0,16.0
1.8,80.0,230000.0,14900,2011.0,16.0
1.5,81.0,192000.0,15500,2015.0,16.0
3.0,165.0,400000.0,17900,2005.0,17.0
2.2,125.0,255175.0,19400,2009.0,16.0
2.2,125.0,206138.0,19900,2011.0,16.0
3.2,165.0,333852.0,17900,2005.0,16.0
2.0,100.0,216000.0,18000,2012.0,17.0
1.8,120.0,179500.0,18800,2004.0,17.0
2.2,124.0,224133.0,19500,2010.0,16.0
2.2,70.0,258000.0,15500,2011.0,16.0
2.0,100.0,250437.0,19400,2010.0,16.0
2.2,100.0,460000.0,18700,2012.0,16.0
2.0,88.0,225764.0,21900,2012.0,16.0
2.2,125.0,290012.0,23999,2010.0,17.0
2.2,150.0,172000.0,20900,2012.0,17.0
2.2,150.0,330000.0,22000,2009.0,16.0
2.2,150.0,245000.0,24900,2012.0,17.0
2.2,150.0,270000.0,20000,2012.0,16.0
3.0,165.0,320000.0,22900,2006.0,17.0
2.0,100.0,300000.0,23000,2013.0,16.0
2.2,100.0,350000.0,19000,2009.0,16.0
2.2,125.0,219456.0,23999,2011.0,17.0
3.0,190.0,265000.0,19900,2007.0,16.0
2.2,125.0,300000.0,24990,2012.0,16.0
5.0,225.0,319000.0,20000,2002.0,19.0
2.2,125.0,236000.0,21900,2009.0,17.0
2.0,100.0,220000.0,20900,2011.0,17.0
2.2,100.0,270000.0,22200,2011.0,16.0
2.2,130.0,230000.0,21000,2011.0,17.0
1.5,80.0,223334.0,20300,2013.0,18.0
2.2,125.0,275000.0,20900,2010.0,17.0
2.2,100.0,234000.0,12500,2009.0,18.0
2.2,125.0,306000.0,21000,2009.0,16.0
2.2,125.0,370000.0,23960,2009.0,17.0
4.0,224.0,440000.0,23600,2007.0,19.0
3.0,170.0,500000.0,19800,2009.0,16.0
2.0,100.0,274690.0,21900,2013.0,16.0
1.5,80.0,154257.0,29990,2016.0,16.0
2.2,125.0,249000.0,25900,2010.0,20.0
1.5,80.0,158000.0,25000,2014.0,18.0
2.2,150.0,235000.0,24600,2011.0,16.0
3.0,195.0,350000.0,29000,2011.0,18.0
1.6,85.0,279161.0,27000,2016.0,16.0
2.2,100.0,208000.0,24900,2015.0,16.0
2.0,100.0,135000.0,29999,1992.0,16.0
3.0,165.0,320000.0,27000,2007.0,18.0
2.2,88.0,155000.0,23900,2011.0,19.0
2.2,105.0,296000.0,30000,2012.0,16.0
2.2,100.0,300000.0,29000,2014.0,19.0
2.2,125.0,169102.0,29500,2011.0,18.0
2.2,125.0,220.0,24990,2010.0,17.0
3.0,170.0,300000.0,29990,2010.0,16.0
2.2,90.0,22000.0,25500,2011.0,16.0
3.0,190.0,340000.0,24900,2011.0,17.0
3.2,165.0,3000.0,28900,2009.0,18.0
2.2,120.0,240000.0,27500,2010.0,16.0
1.5,80.0,220000.0,29900,2018.0,18.0
3.0,170.0,240000.0,29000,2010.0,17.0
2.2,88.0,205000.0,26900,2014.0,17.0
1.8,100.0,301000.0,26900,2013.0,18.0
2.5,150.0,255000.0,30000,2011.0,18.0
3.0,179.0,180000.0,30000,2009.0,18.0
3.0,170.0,280000.0,28000,2010.0,19.0
2.0,143.0,73960.0,69000,2019.0,16.0
2.0,143.0,120000.0,64000,2017.0,18.0
1.5,85.0,168409.0,49990,2019.0,17.0
1.5,81.0,135765.0,42990,2017.0,16.0
1.5,80.0,129540.0,42990,2017.0,16.0
1.5,80.0,102060.0,44990,2018.0,16.0
1.5,80.0,133948.0,40990,2017.0,16.0
1.8,80.0,124871.0,46990,2018.0,18.0
1.8,80.0,154758.0,41990,2018.0,16.0
1.8,85.0,173098.0,53990,2019.0,17.0
1.5,85.0,143370.0,55990,2020.0,17.0
1.8,80.0,157150.0,39990,2017.0,16.0
2.2,100.0,170155.0,38990,2017.0,17.0
2.2,100.0,157530.0,32990,2016.0,18.0
1.8,80.0,101173.0,42990,2018.0,16.0
2.0,110.0,106107.0,61990,2020.0,17.0
2.0,110.0,109844.0,59990,2019.0,17.0
1.6,85.0,111708.0,55990,2017.0,18.0
1.6,90.0,172281.0,62990,2019.0,18.0
2.2,100.0,165727.0,50990,2018.0,16.0
2.2,100.0,150535.0,45990,2018.0,16.0
1.6,118.0,95897.0,69990,2019.0,18.0
2.0,110.0,84221.0,70990,2018.0,18.0
2.2,143.0,95816.0,72990,2018.0,18.0
2.0,143.0,104543.0,73990,2019.0,17.0
2.0,143.0,92253.0,75990,2019.0,19.0
2.0,180.0,112997.0,85990,2019.0,19.0
2.2,130.0,151267.0,54990,2017.0,18.0
2.2,125.0,146232.0,64990,2019.0,19.0
2.0,110.0,157576.0,65990,2017.0,17.0
2.0,110.0,62186.0,62990,2017.0,17.0
2.0,110.0,60544.0,77990,2018.0,17.0
2.0,110.0,52006.0,74990,2018.0,17.0
2.0,120.0,91567.0,86990,2018.0,19.0
2.0,120.0,160443.0,70990,2016.0,17.0
2.0,120.0,106183.0,68990,2017.0,17.0
2.0,120.0,132259.0,74990,2017.0,17.0
2.0,143.0,143880.0,70990,2018.0,17.0
2.0,143.0,120748.0,82990,2018.0,20.0
2.0,143.0,177790.0,79990,2019.0,19.0
3.0,190.0,85873.0,111980,2017.0,16.0
3.0,201.0,119429.0,158980,2020.0,21.0
3.0,243.0,98564.0,211900,2020.0,22.0
2.0,180.0,96413.0,109990,2020.0,20.0
2.0,143.0,129817.0,99990,2021.0,19.0
3.0,243.0,106485.0,159990,2019.0,22.0
2.0,143.0,74000.0,93900,2019.0,20.0
2.0,143.0,19500.0,105900,2022.0,19.0
3.0,200.0,61000.0,144999,2020.0,20.0
3.0,250.0,78000.0,234500,2021.0,21.0
2.0,180.0,117062.0,110975,2019.0,20.0
3.0,243.0,75000.0,272900,2019.0,16.0
5.5,420.0,39388.0,199900,2016.0,20.0
2.0,176.0,86800.0,125000,2020.0,19.0
2.0,180.0,97624.0,143980,2019.0,16.0
3.0,250.0,130442.0,105680,2019.0,18.0
3.0,200.0,64000.0,170000,2020.0,22.0
3.0,243.0,40000.0,199900,2021.0,22.0
3.0,243.0,110000.0,168000,2020.0,16.0
3.0,243.0,68449.0,182990,2020.0,21.0
3.0,200.0,98000.0,136000,2019.0,21.0
2.0,147.0,30500.0,97900,2022.0,17.0
3.0,210.0,18000.0,259800,2021.0,19.0
2.0,143.0,21000.0,109860,2021.0,17.0
2.0,143.0,26000.0,102980,2021.0,17.0
3.0,230.0,87000.0,158860,2016.0,19.0
3.0,190.0,60000.0,124800,2018.0,20.0
2.2,142.0,28500.0,99800,2020.0,18.0
3.0,243.0,36000.0,204000,2021.0,16.0
3.0,190.0,150000.0,144900,2019.0,22.0
3.0,243.0,28.0,150000,2022.0,16.0
3.0,345.0,180000.0,145000,2019.0,20.0
4.0,250.0,138000.0,148000,2018.0,19.0
2.0,120.0,380000.0,4600,2002.0,15.0
2.2,85.0,340000.0,4700,2002.0,16.0
2.0,40.0,0.0,1500,1982.0,16.0
2.2,68.0,421020.0,2950,1997.0,16.0
1.6,55.0,250000.0,2600,2003.0,16.0
1.7,70.0,200000.0,3500,2003.0,16.0
2.4,50.0,300000.0,2300,1980.0,14.0
2.2,105.0,620000.0,4100,2001.0,16.0
2.0,60.0,250000.0,5950,2005.0,15.0
2.0,100.0,1000000.0,5000,1983.0,14.0
2.2,85.0,368800.0,4500,2001.0,16.0
2.2,75.0,158600.0,3200,1999.0,15.0
2.2,92.0,359000.0,4700,1999.0,17.0
